postcode,postcode_status,LSOA_code,LSOA_name,index_of_multiple_deprivation_rank int,index_of_multiple_deprivation_decile
GL50 1PB,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1PE,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1PF,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1PH,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1PJ,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1PL,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1PN,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1PP,Live,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1PQ,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1PR,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1PS,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1PT,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1PU,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1PW,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1PX,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1PY,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1PZ,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QA,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QB,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1QD,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1QE,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QF,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1QG,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QH,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QJ,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QL,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QN,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QP,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1QQ,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1QS,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1QT,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1QU,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1QW,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QX,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QY,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1QZ,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RB,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RE,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RF,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RH,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RL,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RQ,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RS,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1RT,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RU,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RX,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1RY,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1SA,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SB,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SD,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SE,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SF,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SG,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SH,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SJ,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SL,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SN,Live,E01022126,Cheltenham 009F E01022126,17934,6
